,city_name,total_restaurants,total_cuisine_styles,total_rated,total_reviewed,total_reviews,average_rating,average_reviews
0,ALL,121055,127,115856,108183,13542887,4.01,112
1,Amsterdam,3386,97,3243,3061,414444,4.13,135
2,Athens,1887,78,1787,1643,166935,4.21,101
3,Barcelona,8165,105,7790,7264,1020548,3.97,140
4,Berlin,6694,109,6371,5800,406937,4.13,70
5,Bratislava,966,72,889,767,41434,3.99,54
6,Brussels,3141,90,3010,2838,264784,3.89,93
7,Budapest,2562,92,2436,2229,335559,4.1,150
8,Copenhagen,2065,90,1967,1841,187387,4.0,101
9,Dublin,2031,87,1955,1868,313492,4.05,167
10,Edinburgh,1817,81,1760,1705,402045,4.06,235
11,Geneva,1544,81,1408,1300,88770,3.97,68
12,Hamburg,2863,92,2737,2446,112374,4.03,45
13,Helsinki,1203,82,1146,1069,65397,3.91,61
14,Krakow,1322,73,1243,1151,160617,4.14,139
15,Lisbon,3855,85,3712,3466,455280,4.05,131
16,Ljubljana,495,68,468,434,41706,4.13,96
17,London,17336,118,16431,15352,2136471,3.94,139
18,Luxembourg,648,71,622,589,46606,3.92,79
19,Lyon,2746,85,2667,2552,226278,3.92,88
20,Madrid,9192,105,8809,8232,810267,3.8,98
21,Milan,6410,95,6274,5941,1003254,3.81,168
22,Munich,2843,90,2742,2545,216023,4.03,84
23,Oporto,1542,57,1492,1397,195713,4.15,140
24,Oslo,1179,78,1137,1074,99256,3.9,92
25,Paris,14410,111,13995,13280,1537453,3.95,115
26,Prague,4728,98,4171,3711,442475,4.01,119
27,Rome,5949,98,5949,5766,1694602,4.23,293
28,Stockholm,2557,94,2463,2266,159922,3.87,70
29,Vienna,3589,100,3441,3161,266078,4.07,84
30,Warsaw,2289,94,2146,1941,117356,4.07,60
31,Zurich,1641,90,1595,1494,113424,4.02,75
